LUT7,LUT6,LUT5,LUT4,LUT3,MEM64,MEM32,MEM16,Regs,DSPs,BRAM,Routing BRAM,Routing LUTs,Fanout Regs,Unavail. ALMs,Impl. ALMs,Needed ALMs
411,8934,12354,11786,19601,4619,519,559,94977,0,338,0,37547,3874,504,65599,53488
409,8964,12310,11847,19564,4619,519,559,114181,0,338,0,50439,4159,623,74816,59969
470,9459,12279,11099,22303,4619,519,559,76047,0,338,0,21176,3750,518,57363,47725
467,9465,12196,11197,22872,4619,519,559,77072,0,338,0,21322,3892,527,57363,47725
472,9472,12252,11110,25318,4619,519,559,82200,0,338,0,23038,3914,523,59948,49582
412,8943,12345,11800,22785,4619,519,559,88605,0,338,0,31387,3725,596,63829,51963
411,8934,12354,11786,26001,4619,519,559,101409,0,338,0,37970,4031,565,70658,56735
471,9450,12263,11126,22247,4619,519,559,75695,4,338,0,21015,3666,512,56540,47157
467,9454,12194,11183,22557,4619,519,559,76752,20,338,0,21598,3611,566,57133,47555
410,8951,12305,11813,19600,4619,519,559,80605,100,338,0,28373,3775,598,60583,48757
415,8940,12330,11815,19591,4619,519,559,85405,200,338,0,30604,3957,643,61340,50445
406,8914,12310,11826,19604,4619,519,559,95009,400,338,0,38832,4028,604,68473,53570
406,8940,12303,11833,19591,4619,519,559,114213,800,338,0,52934,4245,533,78035,59941
467,9464,12199,11215,25076,4619,549,561,81807,0,338,0,23409,3766,556,59954,49634
413,8920,12471,11807,32644,4619,549,561,105820,0,338,0,32902,4231,522,72362,58216
459,9440,12520,11298,88056,4619,549,561,225863,0,338,0,67987,5601,403,133451,101824
461,9456,12968,11181,153254,4554,54,384,375311,0,387,49,108286,8338,492,207247,155589
460,9423,13514,11423,284616,4554,54,384,675412,0,387,49,93981,5663,672,238260,213654
463,9458,12267,11111,22259,4619,519,559,75775,0,338,0,21301,3519,526,56830,47219
470,9454,12219,11168,22511,4619,519,559,77152,0,338,0,21913,3689,522,57472,47693
467,9463,12295,11062,23756,4619,519,559,82449,0,338,0,24880,4087,773,60189,49901
411,8903,12344,11846,19608,4619,519,559,89268,0,341,3,35411,3851,1053,65013,52642
408,8921,12374,11811,19650,4619,519,559,102706,0,341,3,45501,4295,1419,71369,57959
469,9468,12275,11144,22186,4619,519,559,75875,0,338,0,21305,3667,518,57009,47173
473,9570,12390,11130,22216,4619,519,559,76211,0,338,0,21157,3767,525,57090,47391
468,9650,13061,11620,22304,4619,519,559,77608,0,338,0,21370,3846,500,57844,48243
473,9858,13756,12203,22275,4619,519,559,80000,0,338,0,21713,4092,553,59257,49516
401,9965,14068,12631,20196,4619,519,559,83921,0,338,0,25304,4283,615,61332,50855
472,9449,12409,11122,22205,4619,519,559,76211,0,338,0,21244,3740,557,57045,47376
467,9453,12867,11365,22310,4619,519,559,77896,0,338,0,21642,3812,564,57712,48058
467,9454,13384,11699,22282,4619,519,559,80000,0,338,0,22128,4058,552,58945,48952
399,9234,13639,13552,19760,4619,519,559,83921,0,338,0,26308,4152,647,60802,50711
473,9570,12390,11130,22216,4619,519,559,76211,0,338,0,21203,3776,577,57053,47442
468,9650,13061,11620,22304,4619,519,559,77608,0,338,0,21158,3681,546,57798,48259
473,9858,13756,12203,22275,4619,519,559,80000,0,338,0,21678,3958,584,59403,49552
401,9965,14068,12631,20196,4619,519,559,83921,0,338,0,25482,4361,592,61226,50824
413,8915,12412,11806,31297,4619,549,561,103478,0,338,0,33594,4379,492,70603,57260
466,9434,12161,11240,81533,4619,549,561,214281,0,338,0,62116,6306,465,125894,97254
